epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.317,1.67429,1.86264,1.31241,0.79051,0.75541,0.78291,0.36871,1.65468,0.96384,1.20867,0.000665993,0.000665993,0.000665993
2,281.371,1.61127,1.01908,1.28707,0.85079,0.82251,0.84772,0.41573,1.50872,0.87652,1.17212,0.00130627,0.00130627,0.00130627
3,427.048,1.57937,0.93756,1.27775,0.79117,0.77085,0.77564,0.39936,1.57187,0.88184,1.20783,0.00192015,0.00192015,0.00192015
4,587.843,1.5608,0.89186,1.26677,0.86218,0.8531,0.88308,0.45508,1.4457,0.8339,1.15129,0.0018812,0.0018812,0.0018812
5,729.874,1.49359,0.83522,1.23799,0.84749,0.81789,0.83757,0.37891,1.6829,0.82382,1.1877,0.0018416,0.0018416,0.0018416
6,870.306,1.45658,0.78627,1.21324,0.82264,0.83326,0.86791,0.44038,1.48413,0.84627,1.14078,0.001802,0.001802,0.001802
7,1006.61,1.42197,0.76005,1.19373,0.85691,0.85551,0.87421,0.44817,1.45747,0.74158,1.13598,0.0017624,0.0017624,0.0017624
8,1144.84,1.38599,0.72448,1.18038,0.8325,0.85931,0.86322,0.47906,1.38056,0.70782,1.13396,0.0017228,0.0017228,0.0017228
9,1286.57,1.37121,0.70756,1.17387,0.84827,0.85918,0.89165,0.49101,1.40108,0.67064,1.122,0.0016832,0.0016832,0.0016832
10,1425.47,1.35417,0.6953,1.15939,0.89203,0.85834,0.91376,0.47882,1.44108,0.71338,1.12888,0.0016436,0.0016436,0.0016436
11,1565.81,1.32656,0.67016,1.14403,0.88044,0.9026,0.92169,0.49704,1.37697,0.69048,1.10929,0.001604,0.001604,0.001604
12,1707.29,1.30703,0.65129,1.12911,0.91324,0.86579,0.92802,0.50481,1.37669,0.65747,1.12097,0.0015644,0.0015644,0.0015644
13,1847.41,1.2881,0.64049,1.12127,0.91992,0.92001,0.93562,0.51801,1.38067,0.63597,1.09611,0.0015248,0.0015248,0.0015248
14,1987.36,1.29282,0.63751,1.12328,0.90751,0.91327,0.92094,0.49592,1.3934,0.64912,1.11178,0.0014852,0.0014852,0.0014852
15,2125.09,1.27094,0.62757,1.11345,0.89919,0.88807,0.91438,0.5101,1.36353,0.60902,1.10283,0.0014456,0.0014456,0.0014456
16,2263.75,1.26591,0.61948,1.11352,0.92226,0.93723,0.94274,0.52556,1.35279,0.61657,1.09837,0.001406,0.001406,0.001406
17,2405.32,1.25547,0.61007,1.10569,0.91308,0.8961,0.93323,0.53795,1.28857,0.60634,1.08496,0.0013664,0.0013664,0.0013664
18,2548.53,1.24849,0.6046,1.1045,0.89303,0.92641,0.91755,0.52561,1.33201,0.62507,1.10309,0.0013268,0.0013268,0.0013268
19,2689.61,1.2342,0.59595,1.10035,0.89409,0.91366,0.92688,0.52463,1.33963,0.60869,1.10889,0.0012872,0.0012872,0.0012872
20,2827.15,1.22095,0.58652,1.09075,0.90577,0.93723,0.94924,0.54538,1.30826,0.61495,1.06522,0.0012476,0.0012476,0.0012476
21,2963.27,1.22744,0.58513,1.08919,0.88457,0.91232,0.92334,0.52681,1.32305,0.59948,1.08154,0.001208,0.001208,0.001208
22,3097.14,1.20365,0.569,1.07516,0.91267,0.92208,0.9361,0.54169,1.28055,0.58862,1.06805,0.0011684,0.0011684,0.0011684
23,3225.76,1.19886,0.5657,1.07944,0.91152,0.90909,0.92735,0.53442,1.29417,0.58611,1.06543,0.0011288,0.0011288,0.0011288
24,3353.23,1.18418,0.55949,1.07339,0.88701,0.92857,0.93824,0.53913,1.29401,0.57792,1.08374,0.0010892,0.0010892,0.0010892
25,3481.45,1.16676,0.55171,1.06242,0.88851,0.92424,0.93051,0.53824,1.29046,0.5862,1.08062,0.0010496,0.0010496,0.0010496
26,3608.75,1.16188,0.54394,1.06022,0.88178,0.91126,0.92424,0.53556,1.31381,0.5963,1.08067,0.00101,0.00101,0.00101
27,3736.86,1.16327,0.54877,1.05677,0.88798,0.9265,0.9243,0.54503,1.28281,0.5747,1.0695,0.0009704,0.0009704,0.0009704
28,3864.46,1.14688,0.53679,1.04837,0.90715,0.90936,0.93579,0.5493,1.29189,0.56533,1.0752,0.0009308,0.0009308,0.0009308
